bid,发布时间,id,点赞数,ip,微博正文,user_id,用户昵称
PhCWPxV6Z,2025-03-08 19:54,5142012958084365,1,湖北,笑死人了哈哈哈哈哈MVP结算哈哈哈哈哈哈,6472955577,都圆满_yy
PhCQVpZuL,2025-03-08 19:40,5142009296194591,0,四川,何某真的要脸吗我的老天🙀还敢在抖音开直播还考研名师丢不丢脸我的天🤦,5874280880,richbeautyQ宝
PhCPalCEZ,2025-03-08 19:35,5142008205153501,0,广东,太恶心了，没有脸皮的吗？为什么还能出来直播。回想当时考研的时候最开始因为他名气大听了一节课，不过实在是听不下去，课程风格极其自恋且无聊，后面纯自学英语二也81，他这英语1虽然难一点，但是你这71能滚远点吗？私认为这种人就是撒谎被当面抓着也能狡辩的，恶人雷区忍不住喷了。,5203881182,闻香难
PhCNHrxfN,2025-03-08 19:32,5142007296562687,0,福建,尊敬的学员、合作伙伴及社会各界朋友：我是何凯文，现就2025年考研英语（一）成绩造假事件作出正式道歉。经核实，本人实际成绩为71分，此前发布的89分成绩确系虚假成绩。此行为严重违背教育工作者职业道德，辜负了公众信任，我愿承担全部责任。此行为未与任何人协商，任何其他人和机构均不知情，完全是我自己的个人行为。作为从业多年的考研教师，试图以自己的虚假成绩维系教学的可信力和影响力。这种急功近利的心态，背离了“以学生为本”的教育初心，是不可饶恕的。即日起我退出考研培训。我向全体学员，公众，周思成老师及各合作机构致以最深切歉意。我深知，教育者的失信将动摇学生求知的信念。未来我将用行动弥补过错，恳请社会各界监督。,5904699447,不负明天的伟大梦想
PhCyDBIZK,2025-03-08 18:55,5141997958991100,1,山东,我发现今天所有的考研英语老师都在直播,5896746085,好事朵朵o
PhCy1gnQX,2025-03-08 18:53,5141997573904943,1,江苏,ddddddd标题是我的态度,7748976826,迷米咪蜜
PhCw99Pqr,2025-03-08 18:49,5141996412342635,0,北京,"法律与行业影响LegalandIndustryImplications律师指出，何凯文的行为涉嫌虚假宣传及不正当竞争。根据《广告法》和《反不正当竞争法》，其虚构分数可能误导消费者选择课程，需承担民事赔偿、行政处罚甚至刑事责任。若伪造查分页面涉及高校认证信息，还可能触犯《刑法》中“伪造事业单位印章罪”。其合作机构文都教育已暂停与其合作，并承诺加强兼职教师审核。LegalexpertsstatedthatHe’sactionsviolatedChina’sAdvertisingLawandAnti-UnfairCompetitionLaw,constitutingfalseadvertisingandunfaircompetition.Hecouldfacecivilliability,administrativepenalties,orevencriminalchargesifforgeryinvolveduniversitycertifications.Hispartnerinstitution,WenduEducation,suspendedcooperationandpledgedstricteroversightofpart-timeteachers.",7677940023,英语微课Stan
PhCuGCP4l,2025-03-08 18:45,5141995509252777,13,广东,的最新动态和网友讨论，来智搜看看《教育者失信：对学生价值观的潜在危害》教育者，作为学生成长道路上的引路人，其言行对学生的价值观形成有着深远的影响。然而，当教育者出现失信行为时，这种影响可能会走向负面，给学生的价值观带来潜在的危害。学生在求学阶段，尤其是考研学生，往往对教育者充满信任和敬仰。他们将教育者视为知识和道德的权威，教育者的一举一动都可能成为他们模仿的对象。当教育者被曝失信，如造假成绩、虚假宣传等，这无疑会在学生心中埋下怀疑和困惑的种子。他们会对教育者所传授的知识和价值观产生质疑，甚至会对整个教育体系失去信心。这种失信行为还可能让学生产生错误的价值观。如果学生看到教育者通过不诚信的手段获得利益和声誉，他们可能会误以为这种行为是可行的，甚至是值得效仿的。在这种错误观念的影响下，学生可能会在今后的学习和生活中也采取不诚信的行为，如考试作弊、抄袭作业等。这不仅会影响学生的学业成绩，更会对他们的品德和人格发展造成严重的损害。部分学员强调“师德比成绩更重要”，这一观点深刻地揭示了教育者失信对学生价值观的危害。教育者的职责不仅仅是传授知识，更重要的是培养学生的品德和价值观。一个有师德的教育者，能够用自己的言行引导学生树立正确的价值观，让学生明白诚信、正直、勤奋等品质的重要性。而一个失信的教育者，却可能将学生引入歧途，让他们在成长的道路上迷失方向。为了避免这种潜在危害的发生，教育者必须时刻牢记自己的责任和使命，坚守诚信底线。同时，学校和教育机构也应该加强对教育者的道德教育和监管，建立健全的诚信考核机制，对失信行为严肃处理。只有这样，才能为学生营造一个健康、诚信的学习环境，让他们在正确价值观的引导下茁壮成长，成为对社会有用的人才。否则，教育者的失信行为将像一颗毒瘤，侵蚀着学生的心灵，危害着整个社会的未来。周思成何凯文,7879015413,碳水爱好圆
PhuDWmJbv,2025-03-07 22:46,5141693725416909,1,河南,不入虎穴，焉得虎子，这招虽险，胜算确大，一旦得逞，所有人都会认得何凯文考研英一89分甩开其他老师一大截，还有谁会再验呢,7301474755,香醋少女_
PhunneWfb,2025-03-07 22:05,5141683453560485,0,江西,受不了了，复试一点学不进去，天天在吃何凯文和周思成的瓜考研英语超话,5652486199,陈亿亿mmm
Phufs7rfc,2025-03-07 21:45,5141678541773026,10,上海,,3221965501,麦田里的补刀旺财
PhlDTcVxu,2025-03-06 23:51,5141347733081120,1,山东,这时候就不得不提到我考研时候的宝藏老师颉斌斌了。。。不装呗不作妖安安静静讲课踏踏实实做人,3183518992,GyoRyeonjuuu_
PhlDHasBp,2025-03-06 23:50,5141347612493231,0,安徽,好精彩惹……本来还想跟着何凯文学的,5357255552,小肠女士
PhlCQeD1e,2025-03-06 23:48,5141347083486584,0,安徽,好好笑的一出大戏……,3050541314,不昧ne
PhlCCj5Iv,2025-03-06 23:48,5141346944550211,3,河南,回家吧老师回家吧。我支持何凯文和田静的成绩让大雁老师来查,7724002652,罗恩吃薯片dyxx
PhlCzp4P6,2025-03-06 23:48,5141346915976744,0,韩国,现在有结果了吗,5442266448,板栗生咯哎哟喂
PhlBX1wa6,2025-03-06 23:46,5141346530361962,0,安徽,所以现在有结果了吗,6765688375,豆子青绿
PhlBqtY2v,2025-03-06 23:45,5141346207142307,106,浙江,其实在何凯文和周思成的这一系列精彩开撕最搞笑的是石雷鹏发了个视频回应这件事石老师还是延续了他一贯搞笑的风格啊就像之前听他的作文课背他的作文模板一样记忆犹新L大口吃掉舒芙蕾的微博视频,7001189748,大口吃掉舒芙蕾
Phcga2Sdf,2025-03-05 23:58,5140987060685053,1,河北,这也能互撕……考研老师真是个香饽饽，支持大家撕起来最好能把国家线打下来,5677785649,-是谁知道-
Phcg8kNJw,2025-03-05 23:58,5140987044957738,0,四川,幽默,7671415217,VetiverB论文版
Phcg8kNyj,2025-03-05 23:58,5140987044957043,0,江西,2025英一事变，命题组看看你们干的好事,7747315174,不要跟啥笔计较
Phcg8jHJT,2025-03-05 23:58,5140987044696369,0,山西,沃特嗨盆,6975567776,猫绒兔耳刊-
Phcg7m3bl,2025-03-05 23:58,5140987035255451,0,重庆,嗯.....好吧一个不认识这对吗呃呃嗯嗯,7582143961,几颗cherry_
Phcg1uJhK,2025-03-05 23:57,5140986977323920,0,湖北,哇哇哇英一事变不过我一直不太看好何凯文,7683594960,大铁牛战士
Phcg0DGzx,2025-03-05 23:57,5140986969458443,0,浙江,太好玩了,5509366773,王大漂亮睡不醒00
Phcg0jTv6,2025-03-05 23:57,5140986964741580,5,内蒙古,原来老师也会像学生一样用最简朴的方式一键F12更改自己想要的成绩吗支持以后各大机构老师直播查自己成绩公开透明的让考生选择并花💰,7562174823,薯么猫饼
PhL8VkNK7,2025-03-09 16:46,5142327974957775,2,浙江,我还是比较理解何凯文为什么要续报分数来维持体面，本质就是一种商人行为。作为考研教培业的一员，每年有源源不断的学生客户可以收割，只要名声还在，就肯定能获益。但同时也让我反思，什么是好的教育呢？教的好不一定学的好，学霸不一定适合当老师。当老师的也不一定水平有多高，能激发你的潜力，让你以一种比较正向的心态去学习就已经算是很不错的老师了。当然，并不是赞成这种商人的欺骗行为。,6646163784,兔三要吃胡萝卜__
PhKUp5HSV,2025-03-09 16:10,5142318971360337,1,安徽,这个四级作文模板竟然是何的，我以为我不认识他呢……,7457054201,劝君上
PhCbfF8QM,2025-03-08 17:57,5141983459805472,2,天津,英一事变吗？再一次证明吵架还是弯的强,3282165593,一个大脑门_
PhC4AgBHG,2025-03-08 17:41,5141979323958184,0,,哦，合着是他们公司的啊？？,5807084981,名侦探毛利小柯南
PhC1iBuGi,2025-03-08 17:33,5141977288936078,10,广东,DeepSeek分析周思成和何凯文事件：2025年3月，考研英语名师周思成与何凯文因“英语一成绩真实性”爆发激烈争议。何凯文自称英语一考89分，遭周思成公开质疑造假，最终以何凯文承认实际成绩71分并退出考研培训行业告终。今天突然发现这个智搜里面还有突然和相关视频诶，还是太全面了。周思成何凯文,7817687024,草莓蛋糕特别甜
PhBFFoo3I,2025-03-08 16:39,5141963875812358,1,重庆,何凯文直播上麦一个给多少啊？好想挣这个钱。,7522512610,小S-徐吸地s
PhBFC8ndO,2025-03-08 16:39,5141963841995892,1,江苏,人生就是一个巨大的祛魅过程小时候还把老师的话当金科玉律遵守根本就不需要为有些老师的话伤心毕竟什么牛鬼蛇神都能做老师,3919059627,周黑鸭好吃hhhhh
PhBnhtpb6,2025-03-08 15:54,5141952477008300,1,北京,何凯文老师认证退了之后开始直播了，一把鼻涕一把泪，还说平台保护不让粉丝评论，明明是你自己设置的好吧？不愧是要报考北京电影学院的人。说点啥好呢,1724334793,假装奋青
PhBmN4y5j,2025-03-08 15:53,5141952171084337,0,重庆,还是老师有节目临走也捞一笔,5328155867,-禁止感动-
PhBkD8Btt,2025-03-08 15:47,5141950832050679,1,辽宁,哪怕过两天再开直播呢？,7144132873,来了老鸽
PhBjL6lyo,2025-03-08 15:45,5141950291512824,3,广东,用智搜提问了的具体发展。2025年2月至3月间，考研英语名师周思成与何凯文因“成绩造假”争议引发教育行业震动。后续此次事件以何凯文退出行业告终，但折射出的教育诚信危机与商业利益裹挟问题，仍需行业自律与制度完善双重发力。正如周思成所言：“教育者的诚信是不可逾越的红线。”/周思成何凯文事情发展,7565107096,和不开心唱反调
PhBj4sHAb,2025-03-08 15:44,5141949866840719,1,广东,直播上麦感谢的是认真的吗？我不理解,5426392277,胖嘟嘟滴小雀斑
PhAZV0BRG,2025-03-08 14:56,5141937990145556,22,安徽,周思成与何凯文之争：教育界的诚信警钟近日，周思成与何凯文之间的纷争在教育界掀起了轩然大波。起因是何凯文在社交媒体上晒出了一份考研英语一89分的成绩单，随后周思成对此提出质疑，认为成绩单存在P图痕迹，并要求何凯文直播查分以验证真伪。经过一系列发酵，何凯文最终承认造假，并表示将退出考研培训界。周思成随后对此事作出回应，表达了对教育诚信的坚守和对行业乱象的批判。这一事件不仅仅是两位考研名师之间的个人恩怨，更是对整个教育界诚信体系的一次严峻考验。教育作为塑造社会未来、培养国家栋梁的基石，其从业者的诚信品质至关重要。然而，近年来，随着考研培训市场的不断扩大，一些辅导机构和教师为了谋取利益，不惜采用夸大宣传、虚假承诺等手段，严重损害了行业的公信力和考生的利益。何凯文造假事件就是这一现象的典型代表。他作为考研培训界的知名人士，本应以身作则，为考生提供真实、可靠的信息和指导。然而，他却选择了造假，这不仅是对考生信任的辜负，更是对教育诚信的严重践踏。这种行为不仅会让考生对辅导机构和教师产生质疑，更会对整个教育行业的形象造成极大的损害。周思成的质疑和揭露，是对教育诚信的坚守和捍卫。他敢于站出来指出问题，要求何凯文直面质疑，这体现了他的勇气和担当。同时，他的行为也提醒了我们，作为教育从业者，应该时刻保持警惕，坚守诚信底线，为考生提供真实、可靠的信息和指导。这一事件也给我们敲响了警钟。一方面，相关部门应加强对考研培训市场的监管力度，建立健全的监管机制，对违规行为进行严厉打击；另一方面，广大考生也应提高辨别能力，理性选择辅导机构和教师，避免被虚假宣传所蒙骗。同时，我们还应加强对教育诚信的宣传和教育，让每一位从业者都认识到诚信的重要性，共同维护教育行业的纯洁和尊严。总之，周思成与何凯文之争不仅仅是一场个人恩怨的纷争，更是对整个教育界诚信体系的一次深刻反思。我们应该从中汲取教训，坚守诚信底线，共同推动教育行业的健康发展。｜,3843969589,塘梨下
PhAZxenYK,2025-03-08 14:55,5141937753428770,0,陕西,71分的真伪，也有待考证,5677642645,Yfhckhig
PhAZorVJX,2025-03-08 14:55,5141937666656813,5,安徽,周思成回应何凯文：诚信为本，教育不容虚假在考研培训界，一场由分数真实性引发的风波近日闹得沸沸扬扬。知名考研辅导教师何凯文晒出的考研英语（一）89分成绩，在短暂地引起惊叹后，迅速遭到同行周思成的公开质疑。周思成直指何凯文发布的成绩截图与查分视频存在P图和拼接痕迹，要求何凯文直面质疑，若为真成绩则直播查分以证清白。随着事态发展，何凯文最终承认造假，并发文道歉，宣布退出考研培训界。周思成随后对此作出回应，表达了对真实与善良的坚守，并希望何凯文能真正改变自己。这一事件，表面上看是两位考研名师之间的个人恩怨，实则触及了教育行业诚信问题的敏感神经。教育，作为塑造未来、启迪智慧的神圣事业，其从业者应具备最基本的诚信品质。何凯文成绩造假的行为，不仅严重违背了教育工作者的职业道德，更是对公众信任的辜负。在考研这条艰辛的道路上，每一位考生都付出了巨大的努力，他们渴望得到的是真实、可靠的信息和指导，而非被虚假宣传所误导。周思成的质疑，是对教育诚信的坚守，也是对行业乱象的勇敢揭露。在考研培训市场日益火爆的背景下，一些辅导机构和教师为了吸引生源，不惜夸大宣传、甚至造假，这种行为严重损害了行业的公信力和考生的利益。周思成的站出来，无疑为行业注入了一股清流，提醒我们时刻保持警惕，维护教育的纯洁与尊严。然而，这一事件也暴露出一些问题。为何何凯文敢于冒险造假？背后是否存在着行业监管的缺失？如何防止类似事件再次发生？这些问题值得我们深思。一方面，相关部门应加强对考研培训市场的监管力度，建立健全的监管机制，对违规行为进行严厉打击；另一方面，广大考生也应提高辨别能力，理性选择辅导机构和教师，避免被虚假宣传所蒙骗。此外，这一事件还引发了我们对教育本质的深刻反思。教育的目的是什么？是为了追求高分还是为了培养真正的人才？在分数至上的背景下，我们是否忽略了对学生综合素质和创新能力的培养？这些问题需要我们重新审视教育评价体系，推动教育改革的深入进行。周思成对何凯文的回应，不仅是对个人行为的评判，更是对教育诚信的呼唤。我们期待每一位教育工作者都能坚守诚信底线，以真实、可靠的信息和专业的指导，为考生的成长之路保驾护航。同时，我们也呼吁广大考生保持理性、谨慎选择，共同营造一个健康、有序的考研培训市场环境。在这场风波中，让我们共同铭记：诚信为本，教育不容虚假。｜,7408814760,我的帽子又扔哪去了
PhAV6vkjZ,2025-03-08 14:45,5141935007466287,0,湖北,真服了哥们儿,3886618991,都鄏你麻薯
PhtN5BHCP,2025-03-07 20:36,5141660958985835,1,,发布了头条文章：《关于何凯文考研成绩造假事件的法律分析》法律超话法律顾问超话O关于何凯文考研成绩造假事件的法律分析,3133212155,lawyer叔
PhACKwHJI,2025-03-08 13:59,5141923627794622,1,福建,造假者将面临刑责、罚款等处罚。选辅导课程，别轻信高分宣传，多关注师资认证。,3133212155,lawyer叔
PhACg7ROG,2025-03-08 13:58,5141923321875170,3,河南,看到何凯文的道歉信真遗憾啊和那么多跟学生胡搞在一起的名校教授以及猥亵学生的人渣老师一样令人痛心。中国的应试教育弊端很大，唯分数论唯成果论看似公平却真的扼杀了很多人的发展，也会被有些人恶意利用。几十岁的老师都能被分数反噬，更何况十几岁二十岁的这一群年轻人。不敢想！现在各种资源这么方便学习这个事就算不报班只要想学都能学会哎大多数的教培都是为了利润在营销和欺骗根本不是实际培养学生。甚至很多雅思托福机构都让分数不够的老师偷学生的成绩晒截图，真的是妖魔化！我觉得一个好老师不一定是擅长考试的，但他一定是清醒的，理性的，启智的，耐心的，包容的，勇敢的…有太多美好的词汇，但一定不会是肮脏的。所以尽管我看起来QStop30英硕毕业，英语专业该考的证书我也有，但在国内机构，很多英语培训机构的工作我做不了，大概也是我无能，而且英语毕竟是一门语言，目的是沟通而不是高分数。我不喜欢营销不会昧良心又太过负责，责任心太强的人会苦了自己。所以我选择佛系🫠我相信一家学习机构成立的初心是好的，但是很遗憾，很多时候走着走着就偏了。我坚信教育的发展不是一帆风顺的很多问题终将被解决，争取早日回归本质。,1690635432,安多時光
JE0wgghv9,2021-01-20 07:56,4595351203880527,13,,当初别人给我推荐何凯文的时候看他视频怎么都看不下去本人油腻讲课花里胡哨一堂课下来全是笑笑笑一点有效信息也接收不到英语二还是推荐张剑讲真题太爽了全程无废话,5775851926,小宝so103
PhAA1ukrM,2025-03-08 13:53,5141921937228442,13,甘肃,还得是我那几年就没明白到底咋样的人才喜欢何凯文,5775851926,小宝so103
PhAwrEVh6,2025-03-08 13:44,5141919719753288,0,湖北,看了一下这两位老师的评分一个倒一一个倒二？,5733528290,你的茉莉花匠
PhAt1pGYf,2025-03-08 13:35,5141917596123383,0,甘肃,很具有戏剧性，此后关于他的一切会不会和他的真名一样，被“和谐”～,6534622759,怎么办只想搞抽象
PhAqq5xD2,2025-03-08 13:29,5141915981320912,0,海南,为什么要说假话呢？,2772539027,飘在北京2001
PhApzcZIH,2025-03-08 13:27,5141915453097191,0,陕西,当年考研还认真背了他的1575，还是有帮助的,5333492376,王大力Dalan
PhAn1oeIt,2025-03-08 13:21,5141913875776445,1,广东,弟子不必不如师，师不必强于弟子，但是当老师首先师德得好！回家吧孩子！回家吧！,5831304742,布莱恩Comment
PhA8JAAF7,2025-03-08 12:45,5141905018720741,0,陕西,说实话，周也不是啥好鸟,6377032937,再睡一会吧吧
PhA8AnKFf,2025-03-08 12:45,5141904925660925,0,重庆,十年前的男神塌房了啊诶,2159346283,CoCo_Q_3150
PhA8qm3zI,2025-03-08 12:45,5141904825256962,0,天津,今天，何凯文把“立即退出考研”这句话实现了,5657302280,宇我同行永不停息
PhzPiyuqS,2025-03-08 11:57,5141892968220138,1,西班牙,终于大结局了，“凯文的路还很长，要记得继续提升自己。”哈哈哈哈哈哈哈笑富了,3816136435,大小姐如今不在尹公馆就在仙乐斯
PhzOQaqYY,2025-03-08 11:56,5141892682487004,0,江苏,默默问一句，怎么他们都参加考研了？,7371481744,Lumos散仙
PhzNV6rEd,2025-03-08 11:54,5141892111536249,1,湖北,在退赛和退圈中选择了退网虽迟但到，正义永远不会缺席！,6574089850,Lseven呀
PhzNUx0qu,2025-03-08 11:54,5141892107866466,1,广东,见证历史英一事变哈哈哈哈哈哈哈哈爷爷：回家吧孩子回家吧,5845622055,OneArmedLullaby_
PhzNxpIi2,2025-03-08 11:53,5141891876128454,0,安徽,英语一事变2025最大的笑话,6126836360,小呵同学要天天开心
PhzMPqeC3,2025-03-08 11:51,5141891436252703,0,陕西,不是…啊这……何！凯！文！当时在图书馆会议室，第一次见到网络上的名人，他整个人都带着光环站在讲台上，我们心里眼里满是崇拜……每天教学生如何进步如何拔尖儿的人真的会变得急功近利…！！！,6055724955,不wan呐
PhzMJB68z,2025-03-08 11:51,5141891378841731,28364,英国,很多年前就被何凯文拉黑了。其实很多考研老师应该感恩，英语好的人很多。他们那只是在忙其他的事情而没有和你们竞争。做人，还是要珍惜自己的羽毛。,1340506804,罗叔英语
PhzLLfZvE,2025-03-08 11:49,5141890773811366,23,江苏,何凯文承认自己成绩造假，考研英语实际成绩并非89分，而是71分。学过何凯文的考生怕是一脸震惊了😨,2876831014,影娱提纯小马达
PhzJisDgN,2025-03-08 11:43,5141889246824141,2,四川,只能说等了这么多年，终于等到他死的这天了,7168782914,Kednaldn
PhEaTxNpH,2025-03-08 23:02,5142060118054773,1,四川,你说刘晓艳把差生当韭菜割，就证明你想挑起差生这个话题，差生这一话题本来就在随着社会多元化的发展而渐渐的在人们心里淡出。说出这样的话，何凯文你是不是还觉得自己因为当年的成绩好有优越感呢。或许在你眼里那些差生早都已经随着时代的发展再向前走了。而你作为一个优等生，在自己优势的领域造假，不断爆出负面新闻。你是真的在往后退了,5864154472,琴琴就要买路虎
PhE2970cy,2025-03-08 22:40,5142054691669074,0,天津,今年的第一个大瓜，堪称一个字“绝”这个世界真是越来越魔幻了,5228712161,米冰倩
PhDYNpe8Q,2025-03-08 22:32,5142052616012564,0,内蒙古,？？这就塌了,5319588780,w麻辣小土豆
Phzq6hvWw,2025-03-08 10:55,5141877344174368,0,福建,哈哈哈哈哈哈哈无敌了一个71一个77都回家吧这成绩也能教考研英语了还好这俩当时都没跟过,3637400462,一日理想
PhzoUBbTF,2025-03-08 10:52,5141876608863871,9,安徽,塞翁失马，焉知非福？,5187815719,超大落日
PhzmwoOPr,2025-03-08 10:47,5141875125915261,0,辽宁,大家不听唐迟吗,5532435939,勾魂大猩猩456
PhzmrfJji,2025-03-08 10:46,5141875073749096,0,云南,略微难，但是没有那么难凯文老师71，是因为没有准备到位是因为没有好好听话，抱有侥幸心理偷懒啦,5642073142,善意取得是你老舅嗄
PhDhmtpgp,2025-03-08 20:45,5142025687008629,1,山东,建议所有考研辅导老师也都卷起来，都去考一下，最后谁的实力更强一目了然，别光打嘴炮,6403103872,长跑憨豆
PhD2rB301,2025-03-08 20:08,5142016438829669,2,新加坡,,6552795343,对对对我就是曹草
Phz3ewgIg,2025-03-08 09:59,5141863167690744,0,天津,这是什么？？,6479957559,我现在是iukoi77
Phz2W8M8p,2025-03-08 09:58,5141862982091657,0,辽宁,怎么是演的，人家如果演技好为什么不去拍戏？你们心里太阴暗了，为什么要揣测这么优秀的人，平时里你们开开我的玩笑，怼怼我就算了，没想到你们现在还学会恶意揣测别人了，我真的很失望，但是更多的是难过，我想退网一段时间安静一下，希望你们支持我,7653539442,温软猫饼
Phz25irY9,2025-03-08 09:56,5141862454397421,2,北京,你快去看切片啊周思成在直播间放一路生花，笑死我了，疑似周思成的MVP结算画面，画外音：何凯文回家吧回家吧好不好,7631654920,微醺茶冻-
PhyXqlb3Q,2025-03-08 09:45,5141859565047410,29271,,世界属于真实善良的人希望凯文能真正改变自己人生还很长L周思成的微博视频,1233628161,周思成
Phz1ZC7Ca,2025-03-08 09:56,5141862399085738,29271,北京,周思成老师回应：世界属于真实善良的人！简单有力真实！这也非常符合思思老师率真本色！何凯文造假事件暂告一段落！感谢正义的力量！,6802117478,Q姐_Michelle
Phz1L8tFx,2025-03-08 09:55,5141862252020675,0,安徽,建议以后考研机构的老师都去考一下，然后第二年凭成绩定课的价格不能只有学生卷生卷死卷成洗衣机里裤兜里的纸,7480393267,izhan_Floren
Phz1GnA64,2025-03-08 09:55,5141862205620304,695,北京,这个时代的造假成本相较于所获收益真的太低了，一篇道歉帖，一句退出考研培训（四六级、中高考、雅思托福他都还能继续做），就能美美隐身。名气虽暂时受损，但此前借以虚假宣传所赚取的巨额钱财早就够他吃一辈子了。所谓富贵险中求，此招虽险，胜算却大，如果社会对造假行为的惩治力度这么小，那我想未来以此牟利者只会越来越多，毕竟nothingtolose，赌赢了全是收益，赌输了仅一纸公开道歉信，可悲矣！,2679794095,Lv老爷爷
Phz1FjlUz,2025-03-08 09:55,5141862194612463,1,河北,四六级跟的周飘过，考研长难句跟的何，单词跟的朱伟，70+飘过,3961161915,骑着三轮追奥迪
Phz1y9u6O,2025-03-08 09:55,5141862122260694,0,江西,感谢你俩的闹剧让我对我的英语水平有了前所未有的自豪感，周思成你少做点营销少说几句废话吧，一节课两个半小时起码一个小时都在说没用的东西,7739433799,第二人格专用bot
